wins
58
65
66
67
78
79
84
59
67
66
80
83
84
85
56
57
60
66
76
89
52
83
84
90
75
79
84
89
47
61
76
83
84
59
75
77
80
83
67
74
75
77
79
81
94
95
61
70
87
76
80
84
