wins
45
65
16
21
60
61
69
78
24
33
44
49
61
62
72
30
36
38
49
59
60
69
89
7
33
72
8
35
37
47
55
61
67
31
38
67
71
72
82
93
16
23
28
29
46
56
61
78
16
23
24
25
28
32
36
55
78
